Date,Time,Stage [ft],Quality
4/6/2017,12:07:00 AM,957.84,200 (Unknown)
4/6/2017,12:22:00 AM,957.85,200 (Unknown)
4/6/2017,12:37:00 AM,957.84,200 (Unknown)
4/6/2017,12:52:00 AM,957.84,200 (Unknown)
4/6/2017,1:07:00 AM,957.84,200 (Unknown)
4/6/2017,1:22:00 AM,957.84,200 (Unknown)
4/6/2017,1:37:00 AM,957.84,200 (Unknown)
4/6/2017,1:52:00 AM,957.84,200 (Unknown)
4/6/2017,2:07:00 AM,957.84,200 (Unknown)
4/6/2017,2:22:00 AM,957.84,200 (Unknown)
4/6/2017,2:37:00 AM,957.84,200 (Unknown)
4/6/2017,2:52:00 AM,957.84,200 (Unknown)
4/6/2017,3:07:00 AM,957.84,200 (Unknown)
4/6/2017,3:22:00 AM,957.84,200 (Unknown)
4/6/2017,3:37:00 AM,957.84,200 (Unknown)
4/6/2017,3:52:00 AM,957.84,200 (Unknown)
4/6/2017,4:07:00 AM,957.84,200 (Unknown)
4/6/2017,4:22:00 AM,957.83,200 (Unknown)
4/6/2017,4:37:00 AM,957.85,200 (Unknown)
4/6/2017,4:52:00 AM,957.84,200 (Unknown)
4/6/2017,5:07:00 AM,957.84,200 (Unknown)
4/6/2017,5:22:00 AM,957.84,200 (Unknown)
4/6/2017,5:37:00 AM,957.84,200 (Unknown)
4/6/2017,5:52:00 AM,957.84,200 (Unknown)
4/6/2017,6:07:00 AM,957.84,200 (Unknown)
4/6/2017,6:22:00 AM,957.84,200 (Unknown)
4/6/2017,6:37:00 AM,957.84,200 (Unknown)
4/6/2017,6:52:00 AM,957.84,200 (Unknown)
4/6/2017,7:07:00 AM,957.84,200 (Unknown)
4/6/2017,7:22:00 AM,957.84,200 (Unknown)
4/6/2017,7:37:00 AM,957.84,200 (Unknown)
4/6/2017,7:52:00 AM,957.84,200 (Unknown)
4/6/2017,8:07:00 AM,957.84,200 (Unknown)
4/6/2017,8:22:00 AM,957.83,200 (Unknown)
4/6/2017,8:37:00 AM,957.84,200 (Unknown)
4/6/2017,8:52:00 AM,957.83,200 (Unknown)
4/6/2017,9:07:00 AM,957.84,200 (Unknown)
4/6/2017,9:22:00 AM,957.84,200 (Unknown)
4/6/2017,9:37:00 AM,957.83,200 (Unknown)
4/6/2017,9:52:00 AM,957.84,200 (Unknown)
4/6/2017,10:07:00 AM,957.82,200 (Unknown)
4/6/2017,10:22:00 AM,957.82,200 (Unknown)
4/6/2017,10:37:00 AM,957.8,200 (Unknown)
4/6/2017,10:52:00 AM,957.82,200 (Unknown)
4/6/2017,11:07:00 AM,957.84,200 (Unknown)
4/6/2017,11:22:00 AM,957.83,200 (Unknown)
4/6/2017,11:37:00 AM,957.83,200 (Unknown)
4/6/2017,11:52:00 AM,957.86,200 (Unknown)
4/6/2017,12:07:00 PM,957.84,200 (Unknown)
4/6/2017,12:22:00 PM,957.84,200 (Unknown)
4/6/2017,12:37:00 PM,957.83,200 (Unknown)
4/6/2017,12:52:00 PM,957.82,200 (Unknown)
4/6/2017,1:07:00 PM,957.82,200 (Unknown)
4/6/2017,1:22:00 PM,957.83,200 (Unknown)
4/6/2017,1:37:00 PM,957.84,200 (Unknown)
4/6/2017,1:52:00 PM,957.84,200 (Unknown)
4/6/2017,2:07:00 PM,957.86,200 (Unknown)
4/6/2017,2:22:00 PM,957.84,200 (Unknown)
4/6/2017,2:37:00 PM,957.81,200 (Unknown)
4/6/2017,2:52:00 PM,957.86,200 (Unknown)
4/6/2017,3:07:00 PM,957.87,200 (Unknown)
4/6/2017,3:22:00 PM,957.83,200 (Unknown)
4/6/2017,3:37:00 PM,957.83,200 (Unknown)
4/6/2017,3:52:00 PM,957.82,200 (Unknown)
4/6/2017,4:07:00 PM,957.8,200 (Unknown)
4/6/2017,4:22:00 PM,957.84,200 (Unknown)
4/6/2017,4:37:00 PM,957.83,200 (Unknown)
4/6/2017,4:52:00 PM,957.81,200 (Unknown)
4/6/2017,5:07:00 PM,957.83,200 (Unknown)
4/6/2017,5:22:00 PM,957.83,200 (Unknown)
4/6/2017,5:37:00 PM,957.85,200 (Unknown)
4/6/2017,5:52:00 PM,957.83,200 (Unknown)
4/6/2017,6:07:00 PM,957.85,200 (Unknown)
4/6/2017,6:22:00 PM,957.83,200 (Unknown)
4/6/2017,6:37:00 PM,957.84,200 (Unknown)
4/6/2017,6:52:00 PM,957.84,200 (Unknown)
4/6/2017,7:07:00 PM,957.83,200 (Unknown)
4/6/2017,7:22:00 PM,957.86,200 (Unknown)
4/6/2017,7:37:00 PM,957.83,200 (Unknown)
4/6/2017,7:52:00 PM,957.84,200 (Unknown)
4/6/2017,8:07:00 PM,957.83,200 (Unknown)
4/6/2017,8:22:00 PM,957.83,200 (Unknown)
4/6/2017,8:37:00 PM,957.83,200 (Unknown)
4/6/2017,8:52:00 PM,957.83,200 (Unknown)
4/6/2017,9:07:00 PM,957.83,200 (Unknown)
4/6/2017,9:22:00 PM,957.83,200 (Unknown)
4/6/2017,9:37:00 PM,957.83,200 (Unknown)
4/6/2017,9:52:00 PM,957.83,200 (Unknown)
4/6/2017,10:07:00 PM,957.83,200 (Unknown)
4/6/2017,10:22:00 PM,957.83,200 (Unknown)
4/6/2017,10:37:00 PM,957.83,200 (Unknown)
4/6/2017,10:52:00 PM,957.82,200 (Unknown)
4/6/2017,11:07:00 PM,957.83,200 (Unknown)
4/6/2017,11:22:00 PM,957.83,200 (Unknown)
4/6/2017,11:37:00 PM,957.83,200 (Unknown)
4/6/2017,11:52:00 PM,957.83,200 (Unknown)
4/7/2017,12:07:00 AM,957.83,200 (Unknown)
4/7/2017,12:22:00 AM,957.83,200 (Unknown)
4/7/2017,12:37:00 AM,957.83,200 (Unknown)
4/7/2017,12:52:00 AM,957.83,200 (Unknown)
4/7/2017,1:07:00 AM,957.83,200 (Unknown)
4/7/2017,1:22:00 AM,957.83,200 (Unknown)
4/7/2017,1:37:00 AM,957.83,200 (Unknown)
4/7/2017,1:52:00 AM,957.83,200 (Unknown)
4/7/2017,2:07:00 AM,957.83,200 (Unknown)
4/7/2017,2:22:00 AM,957.82,200 (Unknown)
4/7/2017,2:37:00 AM,957.83,200 (Unknown)
4/7/2017,2:52:00 AM,957.82,200 (Unknown)
4/7/2017,3:07:00 AM,957.82,200 (Unknown)
4/7/2017,3:22:00 AM,957.83,200 (Unknown)
4/7/2017,3:37:00 AM,957.82,200 (Unknown)
4/7/2017,3:52:00 AM,957.82,200 (Unknown)
4/7/2017,4:07:00 AM,957.82,200 (Unknown)
4/7/2017,4:22:00 AM,957.82,200 (Unknown)
4/7/2017,4:37:00 AM,957.82,200 (Unknown)
4/7/2017,4:52:00 AM,957.82,200 (Unknown)
4/7/2017,5:07:00 AM,957.82,200 (Unknown)
4/7/2017,5:22:00 AM,957.82,200 (Unknown)
4/7/2017,5:37:00 AM,957.82,200 (Unknown)
4/7/2017,5:52:00 AM,957.82,200 (Unknown)
4/7/2017,6:07:00 AM,957.83,200 (Unknown)
4/7/2017,6:22:00 AM,957.82,200 (Unknown)
4/7/2017,6:37:00 AM,957.82,200 (Unknown)
4/7/2017,6:52:00 AM,957.82,200 (Unknown)
4/7/2017,7:07:00 AM,957.82,200 (Unknown)
4/7/2017,7:22:00 AM,957.82,200 (Unknown)
4/7/2017,7:37:00 AM,957.82,200 (Unknown)
4/7/2017,7:52:00 AM,957.82,200 (Unknown)
4/7/2017,8:07:00 AM,957.82,200 (Unknown)
4/7/2017,8:22:00 AM,957.82,200 (Unknown)
4/7/2017,8:37:00 AM,957.83,200 (Unknown)
4/7/2017,8:52:00 AM,957.82,200 (Unknown)
4/7/2017,9:07:00 AM,957.82,200 (Unknown)
4/7/2017,9:22:00 AM,957.82,200 (Unknown)
4/7/2017,9:37:00 AM,957.82,200 (Unknown)
4/7/2017,9:52:00 AM,957.83,200 (Unknown)
4/7/2017,10:07:00 AM,957.82,200 (Unknown)
4/7/2017,10:22:00 AM,957.82,200 (Unknown)
4/7/2017,10:37:00 AM,957.81,200 (Unknown)
4/7/2017,10:52:00 AM,957.8,200 (Unknown)
4/7/2017,11:07:00 AM,957.82,200 (Unknown)
4/7/2017,11:22:00 AM,957.81,200 (Unknown)
4/7/2017,11:37:00 AM,957.81,200 (Unknown)
4/7/2017,11:52:00 AM,957.84,200 (Unknown)
4/7/2017,12:07:00 PM,957.82,200 (Unknown)
4/7/2017,12:22:00 PM,957.82,200 (Unknown)
4/7/2017,12:37:00 PM,957.82,200 (Unknown)
4/7/2017,12:52:00 PM,957.84,200 (Unknown)
4/7/2017,1:07:00 PM,957.81,200 (Unknown)
4/7/2017,1:22:00 PM,957.83,200 (Unknown)
4/7/2017,1:37:00 PM,957.83,200 (Unknown)
4/7/2017,1:52:00 PM,957.83,200 (Unknown)
4/7/2017,2:07:00 PM,957.81,200 (Unknown)
4/7/2017,2:22:00 PM,957.82,200 (Unknown)
4/7/2017,2:37:00 PM,957.84,200 (Unknown)
4/7/2017,2:52:00 PM,957.82,200 (Unknown)
4/7/2017,3:07:00 PM,957.81,200 (Unknown)
4/7/2017,3:22:00 PM,957.82,200 (Unknown)
4/7/2017,3:37:00 PM,957.82,200 (Unknown)
4/7/2017,3:52:00 PM,957.83,200 (Unknown)
4/7/2017,4:07:00 PM,957.81,200 (Unknown)
4/7/2017,4:22:00 PM,957.82,200 (Unknown)
4/7/2017,4:37:00 PM,957.82,200 (Unknown)
4/7/2017,4:52:00 PM,957.82,200 (Unknown)
4/7/2017,5:07:00 PM,957.82,200 (Unknown)
4/7/2017,5:22:00 PM,957.81,200 (Unknown)
4/7/2017,5:37:00 PM,957.84,200 (Unknown)
4/7/2017,5:52:00 PM,957.82,200 (Unknown)
4/7/2017,6:07:00 PM,957.83,200 (Unknown)
4/7/2017,6:22:00 PM,957.82,200 (Unknown)
4/7/2017,6:37:00 PM,957.82,200 (Unknown)
4/7/2017,6:52:00 PM,957.82,200 (Unknown)
4/7/2017,7:07:00 PM,957.82,200 (Unknown)
4/7/2017,7:22:00 PM,957.82,200 (Unknown)
4/7/2017,7:37:00 PM,957.82,200 (Unknown)
4/7/2017,7:52:00 PM,957.82,200 (Unknown)
4/7/2017,8:07:00 PM,957.82,200 (Unknown)
4/7/2017,8:22:00 PM,957.82,200 (Unknown)
4/7/2017,8:37:00 PM,957.82,200 (Unknown)
4/7/2017,8:52:00 PM,957.82,200 (Unknown)
4/7/2017,9:07:00 PM,957.81,200 (Unknown)
4/7/2017,9:22:00 PM,957.82,200 (Unknown)
4/7/2017,9:37:00 PM,957.82,200 (Unknown)
4/7/2017,9:52:00 PM,957.82,200 (Unknown)
4/7/2017,10:07:00 PM,957.81,200 (Unknown)
4/7/2017,10:22:00 PM,957.82,200 (Unknown)
4/7/2017,10:37:00 PM,957.82,200 (Unknown)
4/7/2017,10:52:00 PM,957.81,200 (Unknown)
4/7/2017,11:07:00 PM,957.83,200 (Unknown)
4/7/2017,11:22:00 PM,957.81,200 (Unknown)
4/7/2017,11:37:00 PM,957.82,200 (Unknown)
4/7/2017,11:52:00 PM,957.82,200 (Unknown)
4/8/2017,12:07:00 AM,957.83,200 (Unknown)
4/8/2017,12:22:00 AM,957.81,200 (Unknown)
4/8/2017,12:37:00 AM,957.82,200 (Unknown)
4/8/2017,12:52:00 AM,957.82,200 (Unknown)
4/8/2017,1:07:00 AM,957.82,200 (Unknown)
4/8/2017,1:22:00 AM,957.81,200 (Unknown)
4/8/2017,1:37:00 AM,957.82,200 (Unknown)
4/8/2017,1:52:00 AM,957.82,200 (Unknown)
4/8/2017,2:07:00 AM,957.8,200 (Unknown)
4/8/2017,2:22:00 AM,957.82,200 (Unknown)
4/8/2017,2:37:00 AM,957.84,200 (Unknown)
4/8/2017,2:52:00 AM,957.82,200 (Unknown)
4/8/2017,3:07:00 AM,957.82,200 (Unknown)
4/8/2017,3:22:00 AM,957.82,200 (Unknown)
4/8/2017,3:37:00 AM,957.82,200 (Unknown)
4/8/2017,3:52:00 AM,957.81,200 (Unknown)
4/8/2017,4:07:00 AM,957.81,200 (Unknown)
4/8/2017,4:22:00 AM,957.8,200 (Unknown)
4/8/2017,4:37:00 AM,957.82,200 (Unknown)
4/8/2017,4:52:00 AM,957.81,200 (Unknown)
4/8/2017,5:07:00 AM,957.81,200 (Unknown)
4/8/2017,5:22:00 AM,957.82,200 (Unknown)
4/8/2017,5:37:00 AM,957.81,200 (Unknown)
4/8/2017,5:52:00 AM,957.82,200 (Unknown)
4/8/2017,6:07:00 AM,957.82,200 (Unknown)
4/8/2017,6:22:00 AM,957.8,200 (Unknown)
4/8/2017,6:37:00 AM,957.82,200 (Unknown)
4/8/2017,6:52:00 AM,957.82,200 (Unknown)
4/8/2017,7:07:00 AM,957.82,200 (Unknown)
4/8/2017,7:22:00 AM,957.82,200 (Unknown)
4/8/2017,7:37:00 AM,957.81,200 (Unknown)
4/8/2017,7:52:00 AM,957.83,200 (Unknown)
4/8/2017,8:07:00 AM,957.82,200 (Unknown)
4/8/2017,8:22:00 AM,957.81,200 (Unknown)
4/8/2017,8:37:00 AM,957.83,200 (Unknown)
4/8/2017,8:52:00 AM,957.82,200 (Unknown)
4/8/2017,9:07:00 AM,957.82,200 (Unknown)
4/8/2017,9:22:00 AM,957.79,200 (Unknown)
4/8/2017,9:37:00 AM,957.82,200 (Unknown)
4/8/2017,9:52:00 AM,957.82,200 (Unknown)
4/8/2017,10:07:00 AM,957.82,200 (Unknown)
4/8/2017,10:22:00 AM,957.81,200 (Unknown)
4/8/2017,10:37:00 AM,957.8,200 (Unknown)
4/8/2017,10:52:00 AM,957.81,200 (Unknown)
4/8/2017,11:07:00 AM,957.79,200 (Unknown)
4/8/2017,11:22:00 AM,957.84,200 (Unknown)
4/8/2017,11:37:00 AM,957.82,200 (Unknown)
4/8/2017,11:52:00 AM,957.83,200 (Unknown)
4/8/2017,12:07:00 PM,957.81,200 (Unknown)
4/8/2017,12:22:00 PM,957.83,200 (Unknown)
4/8/2017,12:37:00 PM,957.82,200 (Unknown)
4/8/2017,12:52:00 PM,957.82,200 (Unknown)
4/8/2017,1:07:00 PM,957.83,200 (Unknown)
4/8/2017,1:22:00 PM,957.8,200 (Unknown)
4/8/2017,1:37:00 PM,957.81,200 (Unknown)
4/8/2017,1:52:00 PM,957.81,200 (Unknown)
4/8/2017,2:07:00 PM,957.81,200 (Unknown)
4/8/2017,2:22:00 PM,957.82,200 (Unknown)
4/8/2017,2:37:00 PM,957.82,200 (Unknown)
4/8/2017,2:52:00 PM,957.82,200 (Unknown)
4/8/2017,3:07:00 PM,957.81,200 (Unknown)
4/8/2017,3:22:00 PM,957.82,200 (Unknown)
4/8/2017,3:37:00 PM,957.82,200 (Unknown)
4/8/2017,3:52:00 PM,957.86,200 (Unknown)
4/8/2017,4:07:00 PM,957.83,200 (Unknown)
4/8/2017,4:22:00 PM,957.79,200 (Unknown)
4/8/2017,4:37:00 PM,957.81,200 (Unknown)
4/8/2017,4:52:00 PM,957.82,200 (Unknown)
4/8/2017,5:07:00 PM,957.81,200 (Unknown)
4/8/2017,5:22:00 PM,957.82,200 (Unknown)
4/8/2017,5:37:00 PM,957.81,200 (Unknown)
4/8/2017,5:52:00 PM,957.81,200 (Unknown)
4/8/2017,6:07:00 PM,957.8,200 (Unknown)
4/8/2017,6:22:00 PM,957.82,200 (Unknown)
4/8/2017,6:37:00 PM,957.82,200 (Unknown)
4/8/2017,6:52:00 PM,957.82,200 (Unknown)
4/8/2017,7:07:00 PM,957.81,200 (Unknown)
4/8/2017,7:22:00 PM,957.81,200 (Unknown)
4/8/2017,7:37:00 PM,957.81,200 (Unknown)
4/8/2017,7:52:00 PM,957.81,200 (Unknown)
4/8/2017,8:07:00 PM,957.82,200 (Unknown)
4/8/2017,8:22:00 PM,957.82,200 (Unknown)
4/8/2017,8:37:00 PM,957.81,200 (Unknown)
4/8/2017,8:52:00 PM,957.81,200 (Unknown)
4/8/2017,9:07:00 PM,957.82,200 (Unknown)
4/8/2017,9:22:00 PM,957.82,200 (Unknown)
4/8/2017,9:37:00 PM,957.81,200 (Unknown)
4/8/2017,9:52:00 PM,957.82,200 (Unknown)
4/8/2017,10:07:00 PM,957.81,200 (Unknown)
4/8/2017,10:22:00 PM,957.8,200 (Unknown)
4/8/2017,10:37:00 PM,957.82,200 (Unknown)
4/8/2017,10:52:00 PM,957.82,200 (Unknown)
4/8/2017,11:07:00 PM,957.82,200 (Unknown)
4/8/2017,11:22:00 PM,957.83,200 (Unknown)
4/8/2017,11:37:00 PM,957.82,200 (Unknown)
4/8/2017,11:52:00 PM,957.82,200 (Unknown)
4/9/2017,12:07:00 AM,957.82,200 (Unknown)
4/9/2017,12:22:00 AM,957.82,200 (Unknown)
4/9/2017,12:37:00 AM,957.82,200 (Unknown)
4/9/2017,12:52:00 AM,957.82,200 (Unknown)
4/9/2017,1:07:00 AM,957.81,200 (Unknown)
4/9/2017,1:22:00 AM,957.82,200 (Unknown)
4/9/2017,1:37:00 AM,957.81,200 (Unknown)
4/9/2017,1:52:00 AM,957.82,200 (Unknown)
4/9/2017,2:07:00 AM,957.81,200 (Unknown)
4/9/2017,2:22:00 AM,957.81,200 (Unknown)
4/9/2017,2:37:00 AM,957.81,200 (Unknown)
4/9/2017,2:52:00 AM,957.81,200 (Unknown)
4/9/2017,3:07:00 AM,957.81,200 (Unknown)
4/9/2017,3:22:00 AM,957.81,200 (Unknown)
4/9/2017,3:37:00 AM,957.81,200 (Unknown)
4/9/2017,3:52:00 AM,957.81,200 (Unknown)
4/9/2017,4:07:00 AM,957.81,200 (Unknown)
4/9/2017,4:22:00 AM,957.81,200 (Unknown)
4/9/2017,4:37:00 AM,957.82,200 (Unknown)
4/9/2017,4:52:00 AM,957.81,200 (Unknown)
4/9/2017,5:07:00 AM,957.81,200 (Unknown)
4/9/2017,5:22:00 AM,957.81,200 (Unknown)
4/9/2017,5:37:00 AM,957.81,200 (Unknown)
4/9/2017,5:52:00 AM,957.82,200 (Unknown)
4/9/2017,6:07:00 AM,957.82,200 (Unknown)
4/9/2017,6:22:00 AM,957.81,200 (Unknown)
4/9/2017,6:37:00 AM,957.82,200 (Unknown)
4/9/2017,6:52:00 AM,957.82,200 (Unknown)
4/9/2017,7:07:00 AM,957.82,200 (Unknown)
4/9/2017,7:22:00 AM,957.82,200 (Unknown)
4/9/2017,7:37:00 AM,957.83,200 (Unknown)
4/9/2017,7:52:00 AM,957.83,200 (Unknown)
4/9/2017,8:07:00 AM,957.83,200 (Unknown)
4/9/2017,8:22:00 AM,957.83,200 (Unknown)
4/9/2017,8:37:00 AM,957.82,200 (Unknown)
4/9/2017,8:52:00 AM,957.82,200 (Unknown)
4/9/2017,9:07:00 AM,957.81,200 (Unknown)
4/9/2017,9:22:00 AM,957.81,200 (Unknown)
4/9/2017,9:37:00 AM,957.81,200 (Unknown)
4/9/2017,9:52:00 AM,957.8,200 (Unknown)
4/9/2017,10:07:00 AM,957.8,200 (Unknown)
4/9/2017,10:22:00 AM,957.81,200 (Unknown)
4/9/2017,10:37:00 AM,957.81,200 (Unknown)
4/9/2017,10:52:00 AM,957.81,200 (Unknown)
4/9/2017,11:07:00 AM,957.84,200 (Unknown)
4/9/2017,11:22:00 AM,957.79,200 (Unknown)
4/9/2017,11:37:00 AM,957.8,200 (Unknown)
4/9/2017,11:52:00 AM,957.81,200 (Unknown)
4/9/2017,12:07:00 PM,957.81,200 (Unknown)
4/9/2017,12:22:00 PM,957.8,200 (Unknown)
4/9/2017,12:37:00 PM,957.81,200 (Unknown)
4/9/2017,12:52:00 PM,957.81,200 (Unknown)
4/9/2017,1:07:00 PM,957.81,200 (Unknown)
4/9/2017,1:22:00 PM,957.81,200 (Unknown)
4/9/2017,1:37:00 PM,957.8,200 (Unknown)
4/9/2017,1:52:00 PM,957.82,200 (Unknown)
4/9/2017,2:07:00 PM,957.81,200 (Unknown)
4/9/2017,2:22:00 PM,957.84,200 (Unknown)
4/9/2017,2:37:00 PM,957.81,200 (Unknown)
4/9/2017,2:52:00 PM,957.81,200 (Unknown)
4/9/2017,3:07:00 PM,957.8,200 (Unknown)
4/9/2017,3:22:00 PM,957.81,200 (Unknown)
4/9/2017,3:37:00 PM,957.82,200 (Unknown)
4/9/2017,3:52:00 PM,957.84,200 (Unknown)
4/9/2017,4:07:00 PM,957.82,200 (Unknown)
4/9/2017,4:22:00 PM,957.82,200 (Unknown)
4/9/2017,4:37:00 PM,957.83,200 (Unknown)
4/9/2017,4:52:00 PM,957.82,200 (Unknown)
4/9/2017,5:07:00 PM,957.82,200 (Unknown)
4/9/2017,5:22:00 PM,957.83,200 (Unknown)
4/9/2017,5:37:00 PM,957.83,200 (Unknown)
4/9/2017,5:52:00 PM,957.83,200 (Unknown)
4/9/2017,6:07:00 PM,957.83,200 (Unknown)
4/9/2017,6:22:00 PM,957.82,200 (Unknown)
4/9/2017,6:37:00 PM,957.83,200 (Unknown)
4/9/2017,6:52:00 PM,957.83,200 (Unknown)
4/9/2017,7:07:00 PM,957.82,200 (Unknown)
4/9/2017,7:22:00 PM,957.83,200 (Unknown)
4/9/2017,7:37:00 PM,957.79,200 (Unknown)
4/9/2017,7:52:00 PM,957.82,200 (Unknown)
4/9/2017,8:07:00 PM,957.83,200 (Unknown)
4/9/2017,8:22:00 PM,957.82,200 (Unknown)
4/9/2017,8:37:00 PM,957.83,200 (Unknown)
4/9/2017,8:52:00 PM,957.81,200 (Unknown)
4/9/2017,9:07:00 PM,957.83,200 (Unknown)
4/9/2017,9:22:00 PM,957.81,200 (Unknown)
4/9/2017,9:37:00 PM,957.83,200 (Unknown)
4/9/2017,9:52:00 PM,957.79,200 (Unknown)
4/9/2017,10:07:00 PM,957.83,200 (Unknown)
4/9/2017,10:22:00 PM,957.83,200 (Unknown)
4/9/2017,10:37:00 PM,957.82,200 (Unknown)
4/9/2017,10:52:00 PM,957.83,200 (Unknown)
4/9/2017,11:07:00 PM,957.84,200 (Unknown)
4/9/2017,11:22:00 PM,957.83,200 (Unknown)
4/9/2017,11:37:00 PM,957.84,200 (Unknown)
4/9/2017,11:52:00 PM,957.79,200 (Unknown)
4/10/2017,12:07:00 AM,957.84,200 (Unknown)
4/10/2017,12:22:00 AM,957.83,200 (Unknown)
4/10/2017,12:37:00 AM,957.82,200 (Unknown)
4/10/2017,12:52:00 AM,957.82,200 (Unknown)
4/10/2017,1:07:00 AM,957.84,200 (Unknown)
4/10/2017,1:22:00 AM,957.82,200 (Unknown)
4/10/2017,1:37:00 AM,957.82,200 (Unknown)
4/10/2017,1:52:00 AM,957.83,200 (Unknown)
4/10/2017,2:07:00 AM,957.81,200 (Unknown)
4/10/2017,2:22:00 AM,957.83,200 (Unknown)
4/10/2017,2:37:00 AM,957.82,200 (Unknown)
4/10/2017,2:52:00 AM,957.82,200 (Unknown)
4/10/2017,3:07:00 AM,957.82,200 (Unknown)
4/10/2017,3:22:00 AM,957.83,200 (Unknown)
4/10/2017,3:37:00 AM,957.82,200 (Unknown)
4/10/2017,3:52:00 AM,957.82,200 (Unknown)
4/10/2017,4:07:00 AM,957.81,200 (Unknown)
4/10/2017,4:22:00 AM,957.82,200 (Unknown)
4/10/2017,4:37:00 AM,957.8,200 (Unknown)
4/10/2017,4:52:00 AM,957.82,200 (Unknown)
4/10/2017,5:07:00 AM,957.82,200 (Unknown)
4/10/2017,5:22:00 AM,957.82,200 (Unknown)
4/10/2017,5:37:00 AM,957.82,200 (Unknown)
4/10/2017,5:52:00 AM,957.82,200 (Unknown)
4/10/2017,6:07:00 AM,957.82,200 (Unknown)
4/10/2017,6:22:00 AM,957.85,200 (Unknown)
4/10/2017,6:37:00 AM,957.84,200 (Unknown)
4/10/2017,6:52:00 AM,957.82,200 (Unknown)
4/10/2017,7:07:00 AM,957.83,200 (Unknown)
4/10/2017,7:22:00 AM,957.81,200 (Unknown)
4/10/2017,7:37:00 AM,957.8,200 (Unknown)
4/10/2017,7:52:00 AM,957.83,200 (Unknown)
4/10/2017,8:07:00 AM,957.83,200 (Unknown)
4/10/2017,8:22:00 AM,957.83,200 (Unknown)
4/10/2017,8:37:00 AM,957.83,200 (Unknown)
4/10/2017,8:52:00 AM,957.8,200 (Unknown)
4/10/2017,9:07:00 AM,957.81,200 (Unknown)
4/10/2017,9:22:00 AM,957.82,200 (Unknown)
4/10/2017,9:37:00 AM,957.84,200 (Unknown)
4/10/2017,9:52:00 AM,957.8,200 (Unknown)
4/10/2017,10:07:00 AM,957.83,200 (Unknown)
4/10/2017,10:22:00 AM,957.82,200 (Unknown)
4/10/2017,10:37:00 AM,957.85,200 (Unknown)
4/10/2017,10:52:00 AM,957.82,200 (Unknown)
4/10/2017,11:07:00 AM,957.81,200 (Unknown)
4/10/2017,11:22:00 AM,957.82,200 (Unknown)
4/10/2017,11:37:00 AM,957.82,200 (Unknown)
