Date,Time,Stage [ft],Quality
4/12/2017,11:24:00 AM,944.77,200 (Unknown)
4/12/2017,11:39:00 AM,944.77,200 (Unknown)
4/12/2017,11:54:00 AM,944.77,200 (Unknown)
4/12/2017,12:09:00 PM,944.77,200 (Unknown)
4/12/2017,12:24:00 PM,944.77,200 (Unknown)
4/12/2017,12:39:00 PM,944.78,200 (Unknown)
4/12/2017,12:54:00 PM,944.77,200 (Unknown)
4/12/2017,1:09:00 PM,944.78,200 (Unknown)
4/12/2017,1:24:00 PM,944.78,200 (Unknown)
4/12/2017,1:39:00 PM,944.77,200 (Unknown)
4/12/2017,1:54:00 PM,944.78,200 (Unknown)
4/12/2017,2:09:00 PM,944.77,200 (Unknown)
4/12/2017,2:24:00 PM,944.77,200 (Unknown)
4/12/2017,2:39:00 PM,944.77,200 (Unknown)
4/12/2017,2:54:00 PM,944.77,200 (Unknown)
4/12/2017,3:09:00 PM,944.77,200 (Unknown)
4/12/2017,3:24:00 PM,944.77,200 (Unknown)
4/12/2017,3:39:00 PM,944.77,200 (Unknown)
4/12/2017,3:54:00 PM,944.77,200 (Unknown)
4/12/2017,4:09:00 PM,944.77,200 (Unknown)
4/12/2017,4:24:00 PM,944.77,200 (Unknown)
4/12/2017,4:39:00 PM,944.78,200 (Unknown)
4/12/2017,4:54:00 PM,944.78,200 (Unknown)
4/12/2017,5:09:00 PM,944.78,200 (Unknown)
4/12/2017,5:24:00 PM,944.78,200 (Unknown)
4/12/2017,5:39:00 PM,944.78,200 (Unknown)
4/12/2017,5:54:00 PM,944.78,200 (Unknown)
4/12/2017,6:09:00 PM,944.78,200 (Unknown)
4/12/2017,6:24:00 PM,944.78,200 (Unknown)
4/12/2017,6:39:00 PM,944.78,200 (Unknown)
4/12/2017,6:54:00 PM,944.78,200 (Unknown)
4/12/2017,7:09:00 PM,944.79,200 (Unknown)
4/12/2017,7:24:00 PM,944.79,200 (Unknown)
4/12/2017,7:39:00 PM,944.79,200 (Unknown)
4/12/2017,7:54:00 PM,944.79,200 (Unknown)
4/12/2017,8:09:00 PM,944.79,200 (Unknown)
4/12/2017,8:24:00 PM,944.8,200 (Unknown)
4/12/2017,8:39:00 PM,944.8,200 (Unknown)
4/12/2017,8:54:00 PM,944.8,200 (Unknown)
4/12/2017,9:09:00 PM,944.8,200 (Unknown)
4/12/2017,9:24:00 PM,944.8,200 (Unknown)
4/12/2017,9:39:00 PM,944.8,200 (Unknown)
4/12/2017,9:54:00 PM,944.8,200 (Unknown)
4/12/2017,10:09:00 PM,944.81,200 (Unknown)
4/12/2017,10:24:00 PM,944.8,200 (Unknown)
4/12/2017,10:39:00 PM,944.8,200 (Unknown)
4/12/2017,10:54:00 PM,944.81,200 (Unknown)
4/12/2017,11:09:00 PM,944.81,200 (Unknown)
4/12/2017,11:24:00 PM,944.81,200 (Unknown)
4/12/2017,11:39:00 PM,944.8,200 (Unknown)
4/12/2017,11:54:00 PM,944.8,200 (Unknown)
4/13/2017,12:09:00 AM,944.8,200 (Unknown)
4/13/2017,12:24:00 AM,944.8,200 (Unknown)
4/13/2017,12:39:00 AM,944.8,200 (Unknown)
4/13/2017,12:54:00 AM,944.8,200 (Unknown)
4/13/2017,1:09:00 AM,944.81,200 (Unknown)
4/13/2017,1:24:00 AM,944.8,200 (Unknown)
4/13/2017,1:39:00 AM,944.8,200 (Unknown)
4/13/2017,1:54:00 AM,944.8,200 (Unknown)
4/13/2017,2:09:00 AM,944.8,200 (Unknown)
4/13/2017,2:24:00 AM,944.8,200 (Unknown)
4/13/2017,2:39:00 AM,944.8,200 (Unknown)
4/13/2017,2:54:00 AM,944.8,200 (Unknown)
4/13/2017,3:09:00 AM,944.8,200 (Unknown)
4/13/2017,3:24:00 AM,944.8,200 (Unknown)
4/13/2017,3:39:00 AM,944.8,200 (Unknown)
4/13/2017,3:54:00 AM,944.8,200 (Unknown)
4/13/2017,4:09:00 AM,944.81,200 (Unknown)
4/13/2017,4:24:00 AM,944.8,200 (Unknown)
4/13/2017,4:39:00 AM,944.8,200 (Unknown)
4/13/2017,4:54:00 AM,944.81,200 (Unknown)
4/13/2017,5:09:00 AM,944.81,200 (Unknown)
4/13/2017,5:24:00 AM,944.81,200 (Unknown)
4/13/2017,5:39:00 AM,944.81,200 (Unknown)
4/13/2017,5:54:00 AM,944.81,200 (Unknown)
4/13/2017,6:09:00 AM,944.81,200 (Unknown)
4/13/2017,6:24:00 AM,944.81,200 (Unknown)
4/13/2017,6:39:00 AM,944.81,200 (Unknown)
4/13/2017,6:54:00 AM,944.81,200 (Unknown)
4/13/2017,7:09:00 AM,944.82,200 (Unknown)
4/13/2017,7:24:00 AM,944.82,200 (Unknown)
4/13/2017,7:39:00 AM,944.82,200 (Unknown)
4/13/2017,7:54:00 AM,944.82,200 (Unknown)
4/13/2017,8:09:00 AM,944.82,200 (Unknown)
4/13/2017,8:24:00 AM,944.82,200 (Unknown)
4/13/2017,8:39:00 AM,944.82,200 (Unknown)
4/13/2017,8:54:00 AM,944.82,200 (Unknown)
4/13/2017,9:09:00 AM,944.82,200 (Unknown)
4/13/2017,9:24:00 AM,944.82,200 (Unknown)
4/13/2017,9:39:00 AM,944.82,200 (Unknown)
4/13/2017,9:54:00 AM,944.82,200 (Unknown)
4/13/2017,10:09:00 AM,944.82,200 (Unknown)
4/13/2017,10:24:00 AM,944.82,200 (Unknown)
4/13/2017,10:39:00 AM,944.82,200 (Unknown)
4/13/2017,10:54:00 AM,944.82,200 (Unknown)
4/13/2017,11:09:00 AM,944.82,200 (Unknown)
4/13/2017,11:24:00 AM,944.82,200 (Unknown)
4/13/2017,11:39:00 AM,944.82,200 (Unknown)
4/13/2017,11:54:00 AM,944.82,200 (Unknown)
4/13/2017,12:09:00 PM,944.82,200 (Unknown)
4/13/2017,12:24:00 PM,944.82,200 (Unknown)
4/13/2017,12:39:00 PM,944.82,200 (Unknown)
4/13/2017,12:54:00 PM,944.82,200 (Unknown)
4/13/2017,1:09:00 PM,944.82,200 (Unknown)
4/13/2017,1:24:00 PM,944.81,200 (Unknown)
4/13/2017,1:39:00 PM,944.81,200 (Unknown)
4/13/2017,1:54:00 PM,944.81,200 (Unknown)
4/13/2017,2:09:00 PM,944.81,200 (Unknown)
4/13/2017,2:24:00 PM,944.81,200 (Unknown)
4/13/2017,2:39:00 PM,944.81,200 (Unknown)
4/13/2017,2:54:00 PM,944.81,200 (Unknown)
4/13/2017,3:09:00 PM,944.81,200 (Unknown)
4/13/2017,3:24:00 PM,944.81,200 (Unknown)
4/13/2017,3:39:00 PM,944.8,200 (Unknown)
4/13/2017,3:54:00 PM,944.8,200 (Unknown)
4/13/2017,4:09:00 PM,944.8,200 (Unknown)
4/13/2017,4:24:00 PM,944.8,200 (Unknown)
4/13/2017,4:39:00 PM,944.8,200 (Unknown)
4/13/2017,4:54:00 PM,944.8,200 (Unknown)
4/13/2017,5:09:00 PM,944.8,200 (Unknown)
4/13/2017,5:24:00 PM,944.8,200 (Unknown)
4/13/2017,5:39:00 PM,944.8,200 (Unknown)
4/13/2017,5:54:00 PM,944.8,200 (Unknown)
4/13/2017,6:09:00 PM,944.8,200 (Unknown)
4/13/2017,6:24:00 PM,944.8,200 (Unknown)
4/13/2017,6:39:00 PM,944.8,200 (Unknown)
4/13/2017,6:54:00 PM,944.8,200 (Unknown)
4/13/2017,7:09:00 PM,944.8,200 (Unknown)
4/13/2017,7:24:00 PM,944.8,200 (Unknown)
4/13/2017,7:39:00 PM,944.8,200 (Unknown)
4/13/2017,7:54:00 PM,944.8,200 (Unknown)
4/13/2017,8:09:00 PM,944.8,200 (Unknown)
4/13/2017,8:24:00 PM,944.8,200 (Unknown)
4/13/2017,8:39:00 PM,944.8,200 (Unknown)
4/13/2017,8:54:00 PM,944.8,200 (Unknown)
4/13/2017,9:09:00 PM,944.8,200 (Unknown)
4/13/2017,9:24:00 PM,944.8,200 (Unknown)
4/13/2017,9:39:00 PM,944.8,200 (Unknown)
4/13/2017,9:54:00 PM,944.8,200 (Unknown)
4/13/2017,10:09:00 PM,944.8,200 (Unknown)
4/13/2017,10:24:00 PM,944.8,200 (Unknown)
4/13/2017,10:39:00 PM,944.8,200 (Unknown)
4/13/2017,10:54:00 PM,944.8,200 (Unknown)
4/13/2017,11:09:00 PM,944.8,200 (Unknown)
4/13/2017,11:24:00 PM,944.8,200 (Unknown)
4/13/2017,11:39:00 PM,944.8,200 (Unknown)
4/13/2017,11:54:00 PM,944.8,200 (Unknown)
4/14/2017,12:09:00 AM,944.8,200 (Unknown)
4/14/2017,12:24:00 AM,944.8,200 (Unknown)
4/14/2017,12:39:00 AM,944.8,200 (Unknown)
4/14/2017,12:54:00 AM,944.8,200 (Unknown)
4/14/2017,1:09:00 AM,944.8,200 (Unknown)
4/14/2017,1:24:00 AM,944.8,200 (Unknown)
4/14/2017,1:39:00 AM,944.8,200 (Unknown)
4/14/2017,1:54:00 AM,944.8,200 (Unknown)
4/14/2017,2:09:00 AM,944.8,200 (Unknown)
4/14/2017,2:24:00 AM,944.8,200 (Unknown)
4/14/2017,2:39:00 AM,944.8,200 (Unknown)
4/14/2017,2:54:00 AM,944.8,200 (Unknown)
4/14/2017,3:09:00 AM,944.8,200 (Unknown)
4/14/2017,3:24:00 AM,944.8,200 (Unknown)
4/14/2017,3:39:00 AM,944.8,200 (Unknown)
4/14/2017,3:54:00 AM,944.8,200 (Unknown)
4/14/2017,4:09:00 AM,944.8,200 (Unknown)
4/14/2017,4:24:00 AM,944.8,200 (Unknown)
4/14/2017,4:39:00 AM,944.8,200 (Unknown)
4/14/2017,4:54:00 AM,944.8,200 (Unknown)
4/14/2017,5:09:00 AM,944.8,200 (Unknown)
4/14/2017,5:24:00 AM,944.8,200 (Unknown)
4/14/2017,5:39:00 AM,944.8,200 (Unknown)
4/14/2017,5:54:00 AM,944.8,200 (Unknown)
4/14/2017,6:09:00 AM,944.8,200 (Unknown)
4/14/2017,6:24:00 AM,944.8,200 (Unknown)
4/14/2017,6:39:00 AM,944.8,200 (Unknown)
4/14/2017,6:54:00 AM,944.8,200 (Unknown)
4/14/2017,7:09:00 AM,944.8,200 (Unknown)
4/14/2017,7:24:00 AM,944.8,200 (Unknown)
4/14/2017,7:39:00 AM,944.8,200 (Unknown)
4/14/2017,7:54:00 AM,944.8,200 (Unknown)
4/14/2017,8:09:00 AM,944.8,200 (Unknown)
4/14/2017,8:24:00 AM,944.8,200 (Unknown)
4/14/2017,8:39:00 AM,944.8,200 (Unknown)
4/14/2017,8:54:00 AM,944.8,200 (Unknown)
4/14/2017,9:09:00 AM,944.8,200 (Unknown)
4/14/2017,9:24:00 AM,944.8,200 (Unknown)
4/14/2017,9:39:00 AM,944.8,200 (Unknown)
4/14/2017,9:54:00 AM,944.8,200 (Unknown)
4/14/2017,10:09:00 AM,944.8,200 (Unknown)
4/14/2017,10:24:00 AM,944.8,200 (Unknown)
4/14/2017,10:39:00 AM,944.8,200 (Unknown)
4/14/2017,10:54:00 AM,944.8,200 (Unknown)
4/14/2017,11:09:00 AM,944.8,200 (Unknown)
4/14/2017,11:24:00 AM,944.8,200 (Unknown)
4/14/2017,11:39:00 AM,944.8,200 (Unknown)
4/14/2017,11:54:00 AM,944.8,200 (Unknown)
4/14/2017,12:09:00 PM,944.8,200 (Unknown)
4/14/2017,12:24:00 PM,944.8,200 (Unknown)
4/14/2017,12:39:00 PM,944.8,200 (Unknown)
4/14/2017,12:54:00 PM,944.8,200 (Unknown)
4/14/2017,1:09:00 PM,944.8,200 (Unknown)
4/14/2017,1:24:00 PM,944.8,200 (Unknown)
4/14/2017,1:39:00 PM,944.8,200 (Unknown)
4/14/2017,1:54:00 PM,944.8,200 (Unknown)
4/14/2017,2:09:00 PM,944.8,200 (Unknown)
4/14/2017,2:24:00 PM,944.8,200 (Unknown)
4/14/2017,2:39:00 PM,944.8,200 (Unknown)
4/14/2017,2:54:00 PM,944.8,200 (Unknown)
4/14/2017,3:09:00 PM,944.8,200 (Unknown)
4/14/2017,3:24:00 PM,944.8,200 (Unknown)
4/14/2017,3:39:00 PM,944.8,200 (Unknown)
4/14/2017,3:54:00 PM,944.8,200 (Unknown)
4/14/2017,4:09:00 PM,944.8,200 (Unknown)
4/14/2017,4:24:00 PM,944.8,200 (Unknown)
4/14/2017,4:39:00 PM,944.8,200 (Unknown)
4/14/2017,4:54:00 PM,944.8,200 (Unknown)
4/14/2017,5:09:00 PM,944.8,200 (Unknown)
4/14/2017,5:24:00 PM,944.8,200 (Unknown)
4/14/2017,5:39:00 PM,944.8,200 (Unknown)
4/14/2017,5:54:00 PM,944.8,200 (Unknown)
4/14/2017,6:09:00 PM,944.8,200 (Unknown)
4/14/2017,6:24:00 PM,944.8,200 (Unknown)
4/14/2017,6:39:00 PM,944.8,200 (Unknown)
4/14/2017,6:54:00 PM,944.81,200 (Unknown)
4/14/2017,7:09:00 PM,944.81,200 (Unknown)
4/14/2017,7:24:00 PM,944.8,200 (Unknown)
4/14/2017,7:39:00 PM,944.81,200 (Unknown)
4/14/2017,7:54:00 PM,944.8,200 (Unknown)
4/14/2017,8:09:00 PM,944.81,200 (Unknown)
4/14/2017,8:24:00 PM,944.81,200 (Unknown)
4/14/2017,8:39:00 PM,944.8,200 (Unknown)
4/14/2017,8:54:00 PM,944.81,200 (Unknown)
4/14/2017,9:09:00 PM,944.8,200 (Unknown)
4/14/2017,9:24:00 PM,944.8,200 (Unknown)
4/14/2017,9:39:00 PM,944.8,200 (Unknown)
4/14/2017,9:54:00 PM,944.81,200 (Unknown)
4/14/2017,10:09:00 PM,944.81,200 (Unknown)
4/14/2017,10:24:00 PM,944.81,200 (Unknown)
4/14/2017,10:39:00 PM,944.8,200 (Unknown)
4/14/2017,10:54:00 PM,944.81,200 (Unknown)
4/14/2017,11:09:00 PM,944.81,200 (Unknown)
4/14/2017,11:24:00 PM,944.81,200 (Unknown)
4/14/2017,11:39:00 PM,944.81,200 (Unknown)
4/14/2017,11:54:00 PM,944.81,200 (Unknown)
4/15/2017,12:09:00 AM,944.81,200 (Unknown)
4/15/2017,12:24:00 AM,944.81,200 (Unknown)
4/15/2017,12:39:00 AM,944.81,200 (Unknown)
4/15/2017,12:54:00 AM,944.81,200 (Unknown)
4/15/2017,1:09:00 AM,944.81,200 (Unknown)
4/15/2017,1:24:00 AM,944.82,200 (Unknown)
4/15/2017,1:39:00 AM,944.82,200 (Unknown)
4/15/2017,1:54:00 AM,944.82,200 (Unknown)
4/15/2017,2:09:00 AM,944.82,200 (Unknown)
4/15/2017,2:24:00 AM,944.82,200 (Unknown)
4/15/2017,2:39:00 AM,944.82,200 (Unknown)
4/15/2017,2:54:00 AM,944.82,200 (Unknown)
4/15/2017,3:09:00 AM,944.82,200 (Unknown)
4/15/2017,3:24:00 AM,944.82,200 (Unknown)
4/15/2017,3:39:00 AM,944.82,200 (Unknown)
4/15/2017,3:54:00 AM,944.82,200 (Unknown)
4/15/2017,4:09:00 AM,944.82,200 (Unknown)
4/15/2017,4:24:00 AM,944.82,200 (Unknown)
4/15/2017,4:39:00 AM,944.82,200 (Unknown)
4/15/2017,4:54:00 AM,944.82,200 (Unknown)
4/15/2017,5:09:00 AM,944.82,200 (Unknown)
4/15/2017,5:24:00 AM,944.82,200 (Unknown)
4/15/2017,5:39:00 AM,944.82,200 (Unknown)
4/15/2017,5:54:00 AM,944.82,200 (Unknown)
4/15/2017,6:09:00 AM,944.83,200 (Unknown)
4/15/2017,6:24:00 AM,944.83,200 (Unknown)
4/15/2017,6:39:00 AM,944.82,200 (Unknown)
4/15/2017,6:54:00 AM,944.83,200 (Unknown)
4/15/2017,7:09:00 AM,944.83,200 (Unknown)
4/15/2017,7:24:00 AM,944.84,200 (Unknown)
4/15/2017,7:39:00 AM,944.83,200 (Unknown)
4/15/2017,7:54:00 AM,944.84,200 (Unknown)
4/15/2017,8:09:00 AM,944.84,200 (Unknown)
4/15/2017,8:24:00 AM,944.83,200 (Unknown)
4/15/2017,8:39:00 AM,944.84,200 (Unknown)
4/15/2017,8:54:00 AM,944.84,200 (Unknown)
4/15/2017,9:09:00 AM,944.85,200 (Unknown)
4/15/2017,9:24:00 AM,944.85,200 (Unknown)
4/15/2017,9:39:00 AM,944.86,200 (Unknown)
4/15/2017,9:54:00 AM,944.86,200 (Unknown)
4/15/2017,10:09:00 AM,944.86,200 (Unknown)
4/15/2017,10:24:00 AM,944.86,200 (Unknown)
4/15/2017,10:39:00 AM,944.86,200 (Unknown)
4/15/2017,10:54:00 AM,944.86,200 (Unknown)
4/15/2017,11:09:00 AM,944.86,200 (Unknown)
4/15/2017,11:24:00 AM,944.86,200 (Unknown)
4/15/2017,11:39:00 AM,944.87,200 (Unknown)
4/15/2017,11:54:00 AM,944.86,200 (Unknown)
4/15/2017,12:09:00 PM,944.87,200 (Unknown)
4/15/2017,12:24:00 PM,944.87,200 (Unknown)
4/15/2017,12:39:00 PM,944.87,200 (Unknown)
4/15/2017,12:54:00 PM,944.87,200 (Unknown)
4/15/2017,1:09:00 PM,944.87,200 (Unknown)
4/15/2017,1:24:00 PM,944.87,200 (Unknown)
4/15/2017,1:39:00 PM,944.87,200 (Unknown)
4/15/2017,1:54:00 PM,944.87,200 (Unknown)
4/15/2017,2:09:00 PM,944.87,200 (Unknown)
4/15/2017,2:24:00 PM,944.87,200 (Unknown)
4/15/2017,2:39:00 PM,944.88,200 (Unknown)
4/15/2017,2:54:00 PM,944.87,200 (Unknown)
4/15/2017,3:09:00 PM,944.88,200 (Unknown)
4/15/2017,3:24:00 PM,944.88,200 (Unknown)
4/15/2017,3:39:00 PM,944.87,200 (Unknown)
4/15/2017,3:54:00 PM,944.88,200 (Unknown)
4/15/2017,4:09:00 PM,944.88,200 (Unknown)
4/15/2017,4:24:00 PM,944.88,200 (Unknown)
4/15/2017,4:39:00 PM,944.88,200 (Unknown)
4/15/2017,4:54:00 PM,944.87,200 (Unknown)
4/15/2017,5:09:00 PM,944.88,200 (Unknown)
4/15/2017,5:24:00 PM,944.88,200 (Unknown)
4/15/2017,5:39:00 PM,944.88,200 (Unknown)
4/15/2017,5:54:00 PM,944.88,200 (Unknown)
4/15/2017,6:09:00 PM,944.88,200 (Unknown)
4/15/2017,6:24:00 PM,944.88,200 (Unknown)
4/15/2017,6:39:00 PM,944.88,200 (Unknown)
4/15/2017,6:54:00 PM,944.88,200 (Unknown)
4/15/2017,7:09:00 PM,944.88,200 (Unknown)
4/15/2017,7:24:00 PM,944.88,200 (Unknown)
4/15/2017,7:39:00 PM,944.89,200 (Unknown)
4/15/2017,7:54:00 PM,944.88,200 (Unknown)
4/15/2017,8:09:00 PM,944.89,200 (Unknown)
4/15/2017,8:24:00 PM,944.88,200 (Unknown)
4/15/2017,8:39:00 PM,944.88,200 (Unknown)
4/15/2017,8:54:00 PM,944.89,200 (Unknown)
4/15/2017,9:09:00 PM,944.88,200 (Unknown)
4/15/2017,9:24:00 PM,944.89,200 (Unknown)
4/15/2017,9:39:00 PM,944.88,200 (Unknown)
4/15/2017,9:54:00 PM,944.88,200 (Unknown)
4/15/2017,10:09:00 PM,944.89,200 (Unknown)
4/15/2017,10:24:00 PM,944.88,200 (Unknown)
4/15/2017,10:39:00 PM,944.88,200 (Unknown)
4/15/2017,10:54:00 PM,944.89,200 (Unknown)
4/15/2017,11:09:00 PM,944.89,200 (Unknown)
4/15/2017,11:24:00 PM,944.89,200 (Unknown)
4/15/2017,11:39:00 PM,944.88,200 (Unknown)
4/15/2017,11:54:00 PM,944.89,200 (Unknown)
4/16/2017,12:09:00 AM,944.89,200 (Unknown)
4/16/2017,12:24:00 AM,944.89,200 (Unknown)
4/16/2017,12:39:00 AM,944.89,200 (Unknown)
4/16/2017,12:54:00 AM,944.89,200 (Unknown)
4/16/2017,1:09:00 AM,944.89,200 (Unknown)
4/16/2017,1:24:00 AM,944.89,200 (Unknown)
4/16/2017,1:39:00 AM,944.89,200 (Unknown)
4/16/2017,1:54:00 AM,944.89,200 (Unknown)
4/16/2017,2:09:00 AM,944.89,200 (Unknown)
4/16/2017,2:24:00 AM,944.89,200 (Unknown)
4/16/2017,2:39:00 AM,944.89,200 (Unknown)
4/16/2017,2:54:00 AM,944.89,200 (Unknown)
4/16/2017,3:09:00 AM,944.89,200 (Unknown)
4/16/2017,3:24:00 AM,944.89,200 (Unknown)
4/16/2017,3:39:00 AM,944.89,200 (Unknown)
4/16/2017,3:54:00 AM,944.89,200 (Unknown)
4/16/2017,4:09:00 AM,944.89,200 (Unknown)
4/16/2017,4:24:00 AM,944.89,200 (Unknown)
4/16/2017,4:39:00 AM,944.89,200 (Unknown)
4/16/2017,4:54:00 AM,944.89,200 (Unknown)
4/16/2017,5:09:00 AM,944.89,200 (Unknown)
4/16/2017,5:24:00 AM,944.89,200 (Unknown)
4/16/2017,5:39:00 AM,944.89,200 (Unknown)
4/16/2017,5:54:00 AM,944.89,200 (Unknown)
4/16/2017,6:09:00 AM,944.89,200 (Unknown)
4/16/2017,6:24:00 AM,944.89,200 (Unknown)
4/16/2017,6:39:00 AM,944.89,200 (Unknown)
4/16/2017,6:54:00 AM,944.89,200 (Unknown)
4/16/2017,7:09:00 AM,944.89,200 (Unknown)
4/16/2017,7:24:00 AM,944.89,200 (Unknown)
4/16/2017,7:39:00 AM,944.89,200 (Unknown)
4/16/2017,7:54:00 AM,944.89,200 (Unknown)
4/16/2017,8:09:00 AM,944.89,200 (Unknown)
4/16/2017,8:24:00 AM,944.89,200 (Unknown)
4/16/2017,8:39:00 AM,944.89,200 (Unknown)
4/16/2017,8:54:00 AM,944.89,200 (Unknown)
4/16/2017,9:09:00 AM,944.89,200 (Unknown)
4/16/2017,9:24:00 AM,944.89,200 (Unknown)
4/16/2017,9:39:00 AM,944.89,200 (Unknown)
4/16/2017,9:54:00 AM,944.89,200 (Unknown)
4/16/2017,10:09:00 AM,944.89,200 (Unknown)
4/16/2017,10:24:00 AM,944.89,200 (Unknown)
4/16/2017,10:39:00 AM,944.89,200 (Unknown)
4/16/2017,10:54:00 AM,944.89,200 (Unknown)
4/16/2017,11:09:00 AM,944.89,200 (Unknown)
4/16/2017,11:24:00 AM,944.89,200 (Unknown)
4/16/2017,11:39:00 AM,944.89,200 (Unknown)
4/16/2017,11:54:00 AM,944.89,200 (Unknown)
4/16/2017,12:09:00 PM,944.89,200 (Unknown)
4/16/2017,12:24:00 PM,944.89,200 (Unknown)
4/16/2017,12:39:00 PM,944.89,200 (Unknown)
4/16/2017,12:54:00 PM,944.89,200 (Unknown)
4/16/2017,1:09:00 PM,944.89,200 (Unknown)
4/16/2017,1:24:00 PM,944.89,200 (Unknown)
4/16/2017,1:39:00 PM,944.89,200 (Unknown)
4/16/2017,1:54:00 PM,944.88,200 (Unknown)
4/16/2017,2:09:00 PM,944.89,200 (Unknown)
4/16/2017,2:24:00 PM,944.88,200 (Unknown)
4/16/2017,2:39:00 PM,944.88,200 (Unknown)
4/16/2017,2:54:00 PM,944.88,200 (Unknown)
4/16/2017,3:09:00 PM,944.89,200 (Unknown)
4/16/2017,3:24:00 PM,944.88,200 (Unknown)
4/16/2017,3:39:00 PM,944.89,200 (Unknown)
4/16/2017,3:54:00 PM,944.89,200 (Unknown)
4/16/2017,4:09:00 PM,944.89,200 (Unknown)
4/16/2017,4:24:00 PM,944.89,200 (Unknown)
4/16/2017,4:39:00 PM,944.89,200 (Unknown)
4/16/2017,4:54:00 PM,944.88,200 (Unknown)
4/16/2017,5:09:00 PM,944.89,200 (Unknown)
4/16/2017,5:24:00 PM,944.89,200 (Unknown)
4/16/2017,5:39:00 PM,944.89,200 (Unknown)
4/16/2017,5:54:00 PM,944.89,200 (Unknown)
4/16/2017,6:09:00 PM,944.89,200 (Unknown)
4/16/2017,6:24:00 PM,944.89,200 (Unknown)
4/16/2017,6:39:00 PM,944.89,200 (Unknown)
4/16/2017,6:54:00 PM,944.89,200 (Unknown)
4/16/2017,7:09:00 PM,944.89,200 (Unknown)
4/16/2017,7:24:00 PM,944.89,200 (Unknown)
4/16/2017,7:39:00 PM,944.89,200 (Unknown)
4/16/2017,7:54:00 PM,944.9,200 (Unknown)
4/16/2017,8:09:00 PM,944.89,200 (Unknown)
4/16/2017,8:24:00 PM,944.89,200 (Unknown)
4/16/2017,8:39:00 PM,944.89,200 (Unknown)
4/16/2017,8:54:00 PM,944.89,200 (Unknown)
4/16/2017,9:09:00 PM,944.89,200 (Unknown)
4/16/2017,9:24:00 PM,944.89,200 (Unknown)
4/16/2017,9:39:00 PM,944.9,200 (Unknown)
4/16/2017,9:54:00 PM,944.89,200 (Unknown)
4/16/2017,10:09:00 PM,944.89,200 (Unknown)
4/16/2017,10:24:00 PM,944.89,200 (Unknown)
4/16/2017,10:39:00 PM,944.89,200 (Unknown)
4/16/2017,10:54:00 PM,944.89,200 (Unknown)
4/16/2017,11:09:00 PM,944.89,200 (Unknown)
4/16/2017,11:24:00 PM,944.89,200 (Unknown)
4/16/2017,11:39:00 PM,944.89,200 (Unknown)
4/16/2017,11:54:00 PM,944.89,200 (Unknown)
4/17/2017,12:09:00 AM,944.89,200 (Unknown)
